saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces,fireplace
2011,1,116447.2487,1868,3,1,1.2,1948,Lind - Bohanon,Camden,5210,0,FALSE
2009,5,387301.2177,2924,4,2,1,1952,Keewaydin,Nokomis,6088,2,TRUE
2015,9,246156.1445,1593,2,2,1.7,1926,Page,Nokomis,4960,1,TRUE
2010,1,247761.7892,2189,2,2,1.7,1920,Cooper,Longfellow,5040,2,TRUE
2009,2,280605.7968,2132,3,1,1.7,1900,Seward,Longfellow,5166,0,FALSE
2014,5,119978.6255,2028,4,2,1,1985,Central,Powderhorn,5418,0,FALSE
2006,4,375778.1588,2288,4,2,1.5,1923,Tangletown,Southwest,5412,1,TRUE
2007,3,202202.0966,1564,1,1,1.5,1913,Standish,Powderhorn,5080,0,FALSE
2014,7,245341.9566,2124,3,2,1.2,1914,Bancroft,Powderhorn,4379,2,TRUE
2013,8,266983.7228,1656,3,1,1.2,1942,Kenny,Southwest,6376,0,FALSE
2012,12,236726.0552,1984,2,1,1.2,1947,Wenonah,Nokomis,4997,1,TRUE
2006,3,167837.356,2356,3,1,1.7,1900,Whittier,Powderhorn,3396,0,FALSE
2015,6,504458.7788,2256,4,2,1,1950,Linden Hills,Southwest,11890,0,FALSE
2005,8,328689.4442,2186,5,2,1,1994,Webber - Camden,Camden,8691,0,FALSE
2015,3,652273.6549,5237,7,4,2.2,1916,Prospect Park - East River Road,University,15408,2,TRUE
2007,8,330866.7049,2468,3,2,1.5,1925,Windom Park,Northeast,6300,0,FALSE
2014,3,207545.5454,1698,2,2,1.5,1911,Hiawatha,Longfellow,5120,0,FALSE
2012,6,141026.7631,1686,3,1,1.2,1950,Wenonah,Nokomis,6400,0,FALSE
2006,7,130881.5771,1732,3,2,1.2,1954,Folwell,Camden,5035,0,FALSE
2015,4,193731.9979,1876,3,1,2,1912,Central,Powderhorn,5280,0,FALSE
2008,4,1179804.321,4512,4,4,2,1999,Linden Hills,Southwest,8512,1,TRUE
2009,3,219610.5508,2826,4,2,2.2,1910,Northeast Park,Northeast,5125,0,FALSE
2008,11,167283.8721,1978,2,1,1,1954,Victory,Camden,6410,0,FALSE
2005,6,210172.4812,1650,2,1,1.5,1918,Lind - Bohanon,Camden,5139,0,FALSE
2015,12,227720.442,1568,2,2,1.5,1910,Bottineau,Northeast,3440,0,FALSE
2013,12,112589.7776,1188,1,1,1,1910,Corcoran,Powderhorn,5004,0,FALSE
2007,10,294441.1951,2296,3,2,1,1953,Diamond Lake,Nokomis,6111,2,TRUE
2005,7,234012.6506,1348,3,1,1.5,1913,Holland,Northeast,3589,0,FALSE
2006,12,114249.9261,1954,3,1,1.2,1915,McKinley,Camden,5819,0,FALSE
2012,12,180638.8174,1814,3,1,1.5,1924,Willard - Hay,Near North,5132,0,FALSE
2010,10,244834.8072,1782,3,3,1.5,1906,Lyndale,Powderhorn,5424,0,FALSE
2010,8,783801.618,4068,4,5,2.5,1900,Lowry Hill,Calhoun-Isles,6750,2,TRUE
2012,7,146625.4867,2193,3,2,2,1982,Near - North,Near North,6558,0,FALSE
2013,6,188561.079,1682,3,1,1.2,1952,Hiawatha,Longfellow,3968,0,FALSE
2006,7,215891.0675,1428,2,2,1,1924,Victory,Camden,5116,0,FALSE
2007,12,259110.407,1780,3,1,1.5,1908,Keewaydin,Nokomis,7560,0,FALSE
2005,5,219603.1901,1498,4,2,1.7,1905,Central,Powderhorn,4920,0,FALSE
2005,1,191080.4175,1300,2,1,1.5,1917,Webber - Camden,Camden,5013,0,FALSE
2014,8,412587.8885,2588,4,2,1.5,1931,Hale,Nokomis,5146,1,TRUE
